title,type,netflix_original
Man vs. Bee,TV Show,True
Gymnastics Academy: A Second Chance!,TV Show,True
Phantom Pups,TV Show,True
Waffles + Mochi's Restaurant,TV Show,True
BoJack Horseman,TV Show,True
F Is for Family,TV Show,True
Neo Yokio,TV Show,True
Disenchantment,TV Show,True
Paradise PD,TV Show,True
Super Drags,TV Show,True
Trailer Park Boys: The Animated Series,TV Show,True
Tuca & Bertie,TV Show,True
The Midnight Gospel,TV Show,True
Hoops,TV Show,True
The Liberator,TV Show,True
Bad Exorcist,TV Show,True
Masters of the Universe: Revelation,TV Show,True
Q-Force,TV Show,True
Chicago Party Aunt,TV Show,True
Adventure Beast,TV Show,True
Inside Job,TV Show,True
Tear Along the Dotted Line,TV Show,True
Saturday Morning All Star Hits!,TV Show,True
The Guardians of Justice,TV Show,True
Human Resources,TV Show,True
Farzar,TV Show,True
Agent Elvis,TV Show,True
Captain Fall,TV Show,True
Castlevania,TV Show,True
Devilman Crybaby,TV Show,True
B: The Beginning,TV Show,True
A.I.C.O. -Incarnation-,TV Show,True
Sword Gai: The Animation,TV Show,True
Lost Song,TV Show,True
Aggretsuko,TV Show,True
Baki,TV Show,True
Hero Mask,TV Show,True
Ultraman,TV Show,True
Rilakkuma and Kaoru,TV Show,True
7SEEDS,TV Show,True
Knights of the Zodiac: Saint Seiya,TV Show,True
Cannon Busters,TV Show,True
Seis Manos,TV Show,True
Dino Girl Gauko,TV Show,True
Levius,TV Show,True
The Disastrous Life of Saiki K.: Reawakened,TV Show,True
Cagaster of an Insect Cage,TV Show,True
Ghost in the Shell: SAC_2045,TV Show,True
Japan Sinks: 2020,TV Show,True
Transformers: War for Cybertron Trilogy: Siege,TV Show,True
The Idhun Chronicles,TV Show,True
Dragon's Dogma,TV Show,True
Transformers: War for Cybertron Trilogy: Earthrise,TV Show,True
High-Rise Invasion,TV Show,True
Pacific Rim: The Black,TV Show,True
Dota: Dragon's Blood,TV Show,True
The Way of the Househusband,TV Show,True
Yasuke,TV Show,True
Eden,TV Show,True
Trese,TV Show,True
Resident Evil: Infinite Darkness,TV Show,True
Transformers: War for Cybertron Trilogy: Kingdom,TV Show,True
Super Crooks,TV Show,True
The Orbital Children,TV Show,True
Kotaro Lives Alone,TV Show,True
Thermae Romae Novae,TV Show,True
Vampire in the Garden,TV Show,True
Spriggan,TV Show,True
Kakegurui Twin,TV Show,True
Tekken: Bloodline,TV Show,True
Rilakkuma's Theme Park Adventure,TV Show,True
Bee and PuppyCat,TV Show,True
Cyberpunk: Edgerunners,TV Show,True
Exception,TV Show,True
Romantic Killer,TV Show,True
Lookism,TV Show,True
